"","Oocyte..1.RPKM.","Oocyte..2.RPKM.","Oocyte..3.RPKM.","Zygote..1.RPKM.","Zygote..2.RPKM.","Zygote..3.RPKM.","X2.cell.embryo.1..Cell.1.RPKM.","X2.cell.embryo.1..Cell.2.RPKM.","X2.cell.embryo.2..Cell.1.RPKM.","X2.cell.embryo.2..Cell.2.RPKM.","X2.cell.embryo.3..Cell.1.RPKM.","X2.cell.embryo.3..Cell.2.RPKM.","X4.cell.embryo.1..Cell.1.RPKM.","X4.cell.embryo.1..Cell.2.RPKM.","X4.cell.embryo.1..Cell.3.RPKM.","X4.cell.embryo.1..Cell.4.RPKM.","X4.cell.embryo.2..Cell.1.RPKM.","X4.cell.embryo.2..Cell.2.RPKM.","X4.cell.embryo.2..Cell.3.RPKM.","X4.cell.embryo.2..Cell.4.RPKM.","X4.cell.embryo.3..Cell.1.RPKM.","X4.cell.embryo.3..Cell.2.RPKM.","X4.cell.embryo.3..Cell.3.RPKM.","X4.cell.embryo.3..Cell.4.RPKM.","X8.cell.embryo.1..Cell.1.RPKM.","X8.cell.embryo.1..Cell.2.RPKM.","X8.cell.embryo.1..Cell.3.RPKM.","X8.cell.embryo.1..Cell.4.RPKM.","X8.cell.embryo.2..Cell.1.RPKM.","X8.cell.embryo.2..Cell.2.RPKM.","X8.cell.embryo.2..Cell.3.RPKM.","X8.cell.embryo.2..Cell.4.RPKM.","X8.cell.embryo.2..Cell.5.RPKM.","X8.cell.embryo.2..Cell.6.RPKM.","X8.cell.embryo.2..Cell.7.RPKM.","X8.cell.embryo.2..Cell.8.RPKM.","X8.cell.embryo.3..Cell.1.RPKM.","X8.cell.embryo.3..Cell.2.RPKM.","X8.cell.embryo.3..Cell.3.RPKM.","X8.cell.embryo.3..Cell.4.RPKM.","X8.cell.embryo.3..Cell.5.RPKM.","X8.cell.embryo.3..Cell.6.RPKM.","X8.cell.embryo.3..Cell.7.RPKM.","X8.cell.embryo.3..Cell.8.RPKM.","Morulae..1..Cell.1.RPKM.","Morulae..1..Cell.2.RPKM.","Morulae..1..Cell.3.RPKM.","Morulae..1..Cell.4.RPKM.","Morulae..1..Cell.5.RPKM.","Morulae..1..Cell.6.RPKM.","Morulae..1..Cell.7.RPKM.","Morulae..1..Cell.8.RPKM.","Morulae..2..Cell.1.RPKM.","Morulae..2..Cell.2.RPKM.","Morulae..2..Cell.3.RPKM.","Morulae..2..Cell.4.RPKM.","Morulae..2..Cell.5.RPKM.","Morulae..2..Cell.6.RPKM.","Morulae..2..Cell.7.RPKM.","Morulae..2..Cell.8.RPKM.","Late.blastocyst..1..Cell.1.RPKM.","Late.blastocyst..1..Cell.2.RPKM.","Late.blastocyst..1..Cell.3.RPKM.","Late.blastocyst..1..Cell.4.RPKM.","Late.blastocyst..1..Cell.5.RPKM.","Late.blastocyst..1..Cell.6.RPKM.","Late.blastocyst..1..Cell.7.RPKM.","Late.blastocyst..1..Cell.8.RPKM.","Late.blastocyst..1..Cell.9.RPKM.","Late.blastocyst..1..Cell.10.RPKM.","Late.blastocyst..1..Cell.11.RPKM.","Late.blastocyst..1..Cell.12.RPKM.","Late.blastocyst..2..Cell.1.RPKM.","Late.blastocyst..2..Cell.2.RPKM.","Late.blastocyst..2..Cell.3.RPKM.","Late.blastocyst..2..Cell.4.RPKM.","Late.blastocyst..2..Cell.5.RPKM.","Late.blastocyst..2..Cell.6.RPKM.","Late.blastocyst..2..Cell.7.RPKM.","Late.blastocyst..2..Cell.8.RPKM.","Late.blastocyst..2..Cell.9.RPKM.","Late.blastocyst..2..Cell.10.RPKM.","Late.blastocyst..3..Cell.1.RPKM.","Late.blastocyst..3..Cell.2.RPKM.","Late.blastocyst..3..Cell.3.RPKM.","Late.blastocyst..3..Cell.4.RPKM.","Late.blastocyst..3..Cell.5.RPKM.","Late.blastocyst..3..Cell.6.RPKM.","Late.blastocyst..3..Cell.7.RPKM.","Late.blastocyst..3..Cell.8.RPKM."
"SMAD3",3.08219162950876,3.12035194036522,3.24351676137205,3.59765035104811,2.79784306706554,3.01774378650301,2.90554345147192,2.93376146033326,3.51146803927587,3.61882595258744,3.57845572177957,3.44810804371056,2.24305970607253,3.22388586794167,2.52381283772722,2.99276843076892,3.14159627838382,2.57845572177957,2.59907970556486,2.47741829263492,3.70132725741294,2.82517504903674,3.61894338330183,3.13323470635714,2.00144197417391,2.29748491571057,1.09761079662642,2.09186905530185,0,0.554834395894193,0,0,0.705756782049797,0.529071299829111,0,0,0.532067552289031,0,0,1.03843618165611,0.530070742225084,0.751892138404309,0,0,0,0.230203013366421,0,0.984771612385425,0.155749232677945,0,0,0,0.202887833470143,0.897627674279551,0,0.209141397838592,0,0.526068811667588,0.439357178474257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195347598322219,0,0,0,0,1.13684760419288,0,0,0,2.11203283623382,0,0,0,0,0,0
"HPSE2",3.600269753509,3.16478627814334,3.4276061727819,3.94101238243044,3.42653313811667,3.79939819822926,2.98950236086238,3.01827808502435,3.05015338864714,3.44413695658759,3.26273381305411,3.34340782229781,4.34511246413563,4.33442525757026,4.27485800105716,4.51866102310956,3.18776774704603,3.45995613965412,3.46061152286663,4.36176835941915,4.12316954315582,3.4877435830197,3.74534491164144,3.33342373372519,3.37128005402265,2.40789654874953,3.83278876885498,3.59550366050274,0.74416109557041,0.391767719955997,0.22650852980868,0.32077347694587,0.326537348139952,0.149259365499623,0.319617934200161,1.08338358771008,1.60644222813161,1.7172102990196,1.78492270156286,2.12267271882414,1.03773362744651,1.7211538870083,1.37851162325373,2.17791779219584,0,0,0,0.904580434921317,0.975263321678493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573374526445944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALOXE3",2.94916137137824,3.18094347968678,2.88088139723765,3.73628015121619,3.76468585252213,4.13717560124804,3.51210043968966,3.40748871975999,3.46021832866727,3.66607484262069,3.62678954637581,3.8132168267848,3.44652092029318,4.22689381357139,5.55667464663168,3.8171115727957,5.15177765473205,4.28902290538983,4.77531397525381,4.42176189460808,5.0209910471967,5.03650333373899,4.22789507007964,4.92167434823559,4.09643053999702,3.31860607450373,3.5629139989121,4.0453555955959,1.05311133645956,3.05848967787791,1.9560566524124,0,0,1.84839759952819,0,2.11802742259079,2.84036251865844,2.97984243756774,1.799087306074,2.17056605679207,2.27411253778378,0.259423152281415,2.60573136581573,1.11169907219742,0.16349873228288,0,0,0,0,0,0,0,0.370722275148167,0.233888060174277,0,0.194087052116302,0,1.55875743037376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF222",4.42081922069363,4.36674184631419,4.25285462595139,6.40633257782171,6.73979410861108,6.38600040970932,7.38301301548867,6.66820424027506,6.71364083303955,6.47138258177775,6.53574194107511,6.80972311913795,7.71949834523376,6.97959096354383,8.19825839989383,7.54810519834616,6.76339829481536,6.91564040334394,7.05693028838267,7.41191768170824,7.3973066934506,7.19799313087284,7.22500493921829,7.4187465400081,4.75835648293992,4.24671210053186,4.83627763265362,3.17871464117544,0,0,0,0,0,0,0,0,3.24397367191931,3.23832830312591,0,1.80074462393678,0,0.469885976274464,0,1.23081784186108,0,0,0,2.69888520936509,0,0,0,0,0,3.06557231159362,0.708407983483596,0.177598929327733,0,1.202260983562,0,0,0.643394453479892,0,0,0,3.8461924097082,0,0,0,0,0,0,0.479230561206336,0,0,0.631337144127481,0,0,3.01987979435658,0.175045486110914,2.43482835641991,0.211635253327149,0,0,0,0,0,0,0,0,0
"SLC12A8",4.0759604132434,3.89704676223591,3.84207372176819,3.92931759491176,3.75339059766599,3.60916396014014,3.91437317193972,3.86473092231475,3.84589144067803,3.86294724802092,3.09474278238656,3.31556623031895,3.70310069960416,3.29513524900082,4.56638897861117,4.87990177131498,4.23434802990267,3.4788424095406,4.24785158012738,4.73047693031733,4.62655594938034,3.14812063112396,4.8222712673636,5.02338843611027,2.1839628348426,1.88830489520849,2.34596403034287,3.13881446890228,0,0,0.279768421593595,0,0.155749232677945,0,0.789103217501381,0,0,0.186500557644495,0,0,0.782408564927373,0,0,0.31034012061215,1.56462205243698,0,0.460480470040011,0,0,0,0.149259365499623,0.341416524478722,0,0,0.15704371014558,0,0,0,0,0,0,0,0.888304895208487,0,0.14535138557262,0,0,1.1479578813871,0,0,0,0,0,0.430820496519771,0.297484915710575,0.236339539168374,0,0,0,0.235114320376357,0,0,0.159629185821228,0,0,0,0,0,0,0
"LONRF2",0.455228571117139,1.02998286621571,0.715454127115718,0.485426827170242,0.468843942974637,0.701327257412941,0.619178216059069,0.503857532577429,0.878921479749851,0.585923976958601,0.873419503434857,0.754459973625479,1.29337048420475,1.16542962042419,1.92295896423617,1.19660704409482,0.231432408447965,0.282143228781498,1.13684760419288,0.896853072896707,1.03491998434916,1.46571331959596,0.935082523318661,1.53903470297075,0.576280257621355,0.878921479749851,0.155749232677945,1.49467161164755,0,0.457331625485014,0.301002256032814,0,0,0,0,0,0,0,0,0,0.619178216059069,0,0.507921464957328,0,0,0,0.155749232677945,0,0,0,0,2.04718936371245,0,0,0,0,0,0,0,0,0,0,0.407080775450501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147957881387101,0,0,0,0,0,0,0
"MBNL2",0.565597175854225,0.411426245726465,0.585923976958601,0.381837083906047,0.560714954474479,0.754459973625479,0.210388864445403,0.34255474547732,0.414676780426886,0.478195257939166,0.426533138116673,0.227741075839128,2.33628338786443,1.22218630732211,0,2.22866479481694,1.12763327972587,1.48594198341242,1.3397075074486,0.682573297347578,1.57724753559315,0.944858445807539,0.905350899580958,0.903038270112912,0,2.61588707391606,1.95046841415012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215367972203479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78805922364955,0
"TGFA",2.40299497537925,2.55630678422498,2.70951121443197,3.58147176803605,2.9136075118231,2.7788393546815,2.83187724119167,2.79555917143856,2.74717253703546,2.6794237981126,2.5629139989121,2.39807669206745,0.29983076182237,3.92770686242283,4.20968729720921,1.04893364519792,3.42075186326705,3.2103888644454,3.52393826220379,3.64235500618135,3.81147103052984,3.99222459899486,3.57494919059888,3.21505728090457,3.80879689623151,4.48420259334689,2.30363464507901,3.62046911340389,0,0.227741075839128,1.28569812595812,0,0,0,0,0,2.05345893194152,0.84639302085236,2.69688409085545,1.49262232857445,2.31614574229336,1.33456827566613,0,0,1.72159139877538,0,0,2.46858331700683,0,0,0,0,0.576280257621355,0,0,0,0,0,1.56559717585423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAT1A",3.22434903720271,2.08644410868531,2.47974793436622,3.790772037862,3.57313211780203,2.86848923057261,3.89365343877836,3.86364116120201,3.88674522474211,4.07903670543975,3.40911934444999,3.4630992673481,2.33199177823206,4.21451341008002,3.31484151284709,2.13815914522947,3.71380577216523,2.8395565437543,2.79639009733101,1.47871300244172,2.44413695658759,3.2025744425618,3.42961596420174,3.10299399332333,1.66493787744175,3.33385304336707,0.751892138404309,2.84016106714085,0,0.539034702970754,0.589763486984977,0,0,0,0,0,1.5053828490623,0.861558419572029,2.0962618530584,0,0,0,0.449957483628003,0,0.16349873228288,0,3.11553270462368,0,0,0,0.711935356978922,0.350497247084133,0,0,2.19156265070076,0,0,0,0.67897330785417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46048047004001,0,0,0,0,0,0
"TFAP2B",4.99932357815082,4.24283112411199,4.71759417682425,4.25012784289194,4.03254169727004,4.37357861510511,3.75114232472695,3.85996954822103,3.56279191767311,3.90390594065048,2.76511036187958,2.66539277104189,2.72159139877538,2.60407132366886,1.89762767427955,2.53455968460832,2.75360453628,2.39999135066418,3.40203995474896,3.18554943462957,3.67084033588156,2.86354205117958,3.28243980500639,3.15655841719682,2.21754093986252,2.44969342303591,2.07929276727285,2.53679892889127,0.158337027167101,0.936590829823939,0.43722773891291,0,0.169925001442312,0,0.544979883255804,0.150559676575381,1.84799690655495,0.459431618637297,1.06832686143451,0.966430467306298,0.773152397014052,0.767231037023876,1.21412480535285,1.34027740476625,0,0,0,0.62760683812965,0,0,0,0.314986485468515,0,0,0,0,0,0.181420640280142,0.949348164288563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32768736417605,0,0,0,0
